reaction_id,equation,delta_G0_prime_kJ_per_mol,status
PMDPHT,C04454 + C00001 = C04732 + C00009,-15.211815314346104,ok
CPPPGO,C03263 + 2 C00080 + C00007 = 2 C00011 + 2 C00001 + C01079,-359.82845957016275,ok
EX_met__L_e,met__L_e --> ,,skipped (unmapped)
GTHOr,C00127 + C00080 + C00005 = 2 C00051 + C00006,-15.425128495059425,ok
ILETA,C00026 + C00407 = C00671 + C00025,-5.8996997921520915,ok
DHORD5,C00337 + CHEBI:44027 = CHEBI:61684 + C00295,-17.18928658707472,ok
EX_metsox_S__L_e,metsox_S__L_e --> ,,skipped (unmapped)
GLYCTO2,C00160 + C17569 = C00048 + CHEBI:61682,-90.63389847035546,ok
VALTA,C00026 + C00183 = C00141 + C00025,1.7543518626385435,ok
GLYCTO3,C00160 + CHEBI:44027 = C00048 + CHEBI:61684,17.303678880260122,ok
IPPMIb,C02631 + C00001 = C02504,-0.3749381610552973,ok
GLYCTO4,CHEBI:48455 + C00160 = CHEBI:61873 + C00048,-5.10921319122501,ok
ORPT,C01103 + C00013 = C00295 + C00119,-8.931195955138321,ok
RBFSa,C04732 + C15556 = C04332 + 2 C00001 + C00009,-96.08910851942241,ok
ACHBS,C00109 + C00080 + C00022 = C06006 + C00011,-21.15028656298813,ok
PFK_3,C00002 + C05382 = C00008 + C00080 + C00447,-13.913095647534135,ok
DHAD2,C06007 = C00671 + C00001,-36.92781129377856,ok
ACLS,C00080 + 2 C00022 = C06010 + C00011,-29.870720495355357,ok
TRPS2,C00463 + C00065 = C00001 + C00078,-50.741793061811336,ok
PSCVT,C00074 + C03175 = C01269 + C00009,-16.730680310959322,ok
G3PD5,C00093 + C17569 = C00111 + CHEBI:61682,-109.05556058665042,ok
G1PP,C00103 + C00001 = C00031 + C00009,-16.835507362681376,ok
PFL,C00010 + C00022 = C00024 + C00058,-19.810021191652687,ok
EX_acgam_e,acgam_e --> ,,skipped (unmapped)
ANS,C00251 + C00064 = C00108 + C00025 + C00080 + C00022,-106.2107861921442,ok
FRD2,C00122 + CHEBI:61684 = CHEBI:44027 + C00042,-34.352612025415056,ok
FRD3,CHEBI:61873 + C00122 = CHEBI:48455 + C00042,-11.939719953929739,ok
ANPRT,C00108 + C00119 = C00013 + C04302,-60.21397370311797,ok
POX,C00001 + C00022 + C17569 = C00033 + C00011 + CHEBI:61682,-200.94211250663187,ok
CHORM,C00251 = C00254,-48.66937497276518,ok
PTAr,C00024 + C00009 = C00227 + C00010,8.878981560285865,ok
CHORS,C01269 = C00251 + C00009,-45.822110189748294,ok
IGPS,C01302 + C00080 = C03506 + C00011 + C00001,-75.35213754302684,ok
ACKr,C00033 + C00002 = C00227 + C00008,13.629637646085257,ok
EX_cellb_e,cellb_e --> ,,skipped (unmapped)
EX_crn_e,crn_e --> ,,skipped (unmapped)
EX_hxan_e,hxan_e --> ,,skipped (unmapped)
EX_ile__L_e,ile__L_e --> ,,skipped (unmapped)
EX_chol_e,chol_e --> ,,skipped (unmapped)
EX_fe3_e,fe3_e <=> ,,skipped (unmapped)
LEUTAi,C00233 + C00025 = C00026 + C00123,-0.3476431608497137,ok
EX_lac__L_e,lac__L_e --> ,,skipped (unmapped)
EX_leu__L_e,leu__L_e --> ,,skipped (unmapped)
EX_glcn_e,glcn_e --> ,,skipped (unmapped)
EX_no3_e,no3_e --> ,,skipped (unmapped)
EX_h_e,h_e <=> ,,skipped (unmapped)
DMATT,C00235 + C00129 = C00341 + C00013,-76.6162735728821,ok
EX_orn_e,orn_e --> ,,skipped (unmapped)
GRTT,C00341 + C00129 = C00448 + C00013,-77.97344159690913,ok
EX_gln__L_e,gln__L_e --> ,,skipped (unmapped)
UPP3S,C01024 = C00001 + C01051,-313.9538433992252,ok
EX_pro__L_e,pro__L_e --> ,,skipped (unmapped)
EX_glyc_e,glyc_e --> ,,skipped (unmapped)
UPPDC1,4 C00080 + C01051 = 4 C00011 + C03263,-33.84205090878288,ok
EX_man_e,man_e --> ,,skipped (unmapped)
TMDPP,C00009 + C00214 = C00672 + C00178,5.021225111391317,ok
EX_ade_e,ade_e --> ,,skipped (unmapped)
EX_mn2_e,mn2_e <=> ,,skipped (unmapped)
EX_4abut_e,4abut_e --> ,,skipped (unmapped)
EX_ac_e,ac_e --> ,,skipped (unmapped)
EX_akg_e,akg_e --> ,,skipped (unmapped)
EX_ala__L_e,ala__L_e --> ,,skipped (unmapped)
EX_arg__L_e,arg__L_e --> ,,skipped (unmapped)
EX_asp__L_e,asp__L_e --> ,,skipped (unmapped)
EX_pyr_e,pyr_e --> ,,skipped (unmapped)
EX_succ_e,succ_e --> ,,skipped (unmapped)
EX_thymd_e,thymd_e --> ,,skipped (unmapped)
EX_rib__D_e,rib__D_e --> ,,skipped (unmapped)
EX_tyr__L_e,tyr__L_e --> ,,skipped (unmapped)
EX_cytd_e,cytd_e --> ,,skipped (unmapped)
EX_dcyt_e,dcyt_e --> ,,skipped (unmapped)
MOAT,C04121 + C04919 = C00055 + C00080 + C06024,-259.5511581196297,ok
EX_fum_e,fum_e --> ,,skipped (unmapped)
EX_sbt__D_e,sbt__D_e --> ,,skipped (unmapped)
EX_glu__L_e,glu__L_e --> ,,skipped (unmapped)
UDCPDPS,C00448 + 8 C00129 = 8 C00013 + CHEBI:15284,-623.7875327752693,ok
ECOAH6,C05260 = C00001 + C05273,-0.432742350962144,ok
USHD,C00001 + C04652 = 2 C00080 + C04824 + C00105,-27.01842418486325,ok
EX_gua_e,gua_e --> ,,skipped (unmapped)
ENO,C00631 = C00001 + C00074,-3.810887382031453,ok
FBA,C00354 = C00111 + C00118,22.393224257312113,ok
HCO3E,C00011 + C00001 = C00080 + C00288,-5.1872350008087835,ok
MGSA,C00111 = C00546 + C00009,-59.82721737707087,ok
IMPC,C00001 + C00130 = C04734,19.58809130978102,ok
IMPD,C00001 + C00130 + C00003 = C00080 + C00004 + C00655,19.52667346565289,ok
PPS,C00002 + C00001 + C00022 = C00020 + 2 C00080 + C00074 + C00009,0.41265937298788913,ok
ECOAH4,C05264 = C05275 + C00001,-0.43274235096195923,ok
LPADSS,C04824 + C04652 = C00080 + C04932 + C00015,-23.334029007980973,ok
GLUTRS,C00002 + C00025 + C01641 = C00020 + C02987 + C00013,,skipped (unbalanced)
TDSK,C00002 + C04932 = C00008 + C00080 + C04919,-9.123139995502243,ok
PGI,C00092 = C05345,7.010247681224314,ok
TMPPP,C04752 + C04327 + C00080 = C00013 + C01081,-28.84246343313555,ok
EX_btn_e,btn_e --> ,,skipped (unmapped)
PGK,C00197 + C00002 = C00236 + C00008,19.315639861920204,ok
EX_ptrc_e,ptrc_e --> ,,skipped (unmapped)
EDA,C04442 = C00118 + C00022,16.240189192196922,ok
EX_spmd_e,spmd_e --> ,,skipped (unmapped)
EX_thym_e,thym_e --> ,,skipped (unmapped)
EX_xtsn_e,xtsn_e --> ,,skipped (unmapped)
NTPP1,C00286 + C00001 = C00362 + C00080 + C00013,-44.23234440731629,ok
URIK1,C00002 + C00299 = C00008 + C00080 + C00105,-18.2772171654006,ok
URIK2,C00044 + C00299 = C00035 + C00080 + C00105,-15.47416012236937,ok
NTPP2,C00044 + C00001 = C00144 + C00080 + C00013,-34.54546610990148,ok
PGL,C01236 + C00001 = C00345 + C00080,-22.52326610960648,ok
NTPTP1,C00286 + C00001 = C00330 + C00536,-51.01348627537285,ok
NTPTP2,C00044 + C00001 = C00387 + C00536,-51.708612260983124,ok
CYTDK1,C00002 + C00475 = C00008 + C00055 + C00080,-13.164521552070596,ok
RPE,C00199 = C00231,-3.388013622025369,ok
DHQTi,C00944 = C02637 + C00001,-5.2901689320167264,ok
IPMD,C04411 + C00003 = C04236 + C00080 + C00004,18.68998866975494,ok
AIRC3,C04751 = C15667,-30.53699370600168,ok
TALA,C00118 + C05382 = C00279 + C05345,3.4772863872188964,ok
PUNP1,C00212 + C00009 = C00147 + C00620,8.383645810807366,ok
PUNP2,C00559 + C00009 = C00672 + C00147,10.008658728110106,ok
PUNP3,C00387 + C00009 = C00242 + C00620,11.77682464257282,ok
ADSL2r,C04823 = C04677 + C00122,23.278494849734557,ok
TKT1,C03736 + C00231 = C00118 + C05382,-1.5468319202464045,ok
EX_fe2_e,fe2_e <=> ,,skipped (unmapped)
PUNP5,C00294 + C00009 = C00262 + C00620,8.807586728532954,ok
PUNP6,C05512 + C00009 = C00672 + C00262,9.227426762417181,ok
PUNP7,C00009 + C01762 = C00620 + C00385,11.081326505311637,ok
G6PDA,C00352 + C00001 = C05345 + C00014,4.993310632325631,ok
RNDR1,C00008 + C00342 = C00206 + C00001 + C00343,-42.28289561131298,ok
ALCD2x,C00469 + C00003 = C00084 + C00080 + C00004,21.111809809500528,ok
RNDR3,C00112 + C00342 = C00705 + C00001 + C00343,-39.33273386406397,ok
RNDR4,C00342 + C00015 = C01346 + C00001 + C00343,-40.6223960982076,ok
ALDD2y,C00084 + C00001 + C00006 = C00033 + 2 C00080 + C00005,-49.86928458044031,ok
TMDS,C00365 + C00143 = C00415 + C00364,-45.15096605335418,ok
RMI,C00507 = C00861,0.13284163497502277,ok
TMDK1,C00002 + C00214 = C00008 + C00364 + C00080,-17.370353957261045,ok
LYSAM,C00047 = C01142,-4.625714034086343,ok
PPCDC,C04352 + C00080 = C00011 + C01134,-21.238623608005923,ok
FTHFD,C00234 + C00001 = C00058 + C00080 + C00101,-24.690244589982854,ok
EX_glc__D_e,glc__D_e <=> ,,skipped (unmapped)
DHAD1,C04272 = C00141 + C00001,-36.930323927245226,ok
IPPMIa,C04411 = C02631 + C00001,-3.7135223072767047,ok
EX_alltn_e,alltn_e --> ,,skipped (unmapped)
G3PD7,CHEBI:48455 + C00093 = CHEBI:61873 + C00111,-23.53087530752026,ok
EDD,C00345 = C04442 + C00001,-42.84480469840922,ok
EX_ura_e,ura_e --> ,,skipped (unmapped)
NADH9,CHEBI:48455 + C00080 + C00004 = CHEBI:61873 + C00003,-49.277224671006934,ok
EX_val__L_e,val__L_e --> ,,skipped (unmapped)
NADH10,C00080 + CHEBI:44027 + C00004 = CHEBI:61684 + C00003,-26.86433259952173,ok
ADK4,C00020 + C00081 = C00008 + C00104,-1.51861771786821,ok
INSK,C00002 + C00294 = C00008 + C00080 + C00130,-21.730672287595496,ok
MDH,C00149 + C00003 = C00080 + C00004 + C00036,29.558211165424865,ok
ABTA,C00334 + C00026 = C00025 + C00232,6.564630295890879,ok
EX_xan_e,xan_e --> ,,skipped (unmapped)
FUM,C00122 + C00001 = C00149,-3.4300285975664337,ok
FMNAT,C00002 + C00061 + C00080 = C00016 + C00013,-11.974706584917769,ok
PYDXNK,C00002 + C00314 = C00008 + C00080 + C00627,-7.649242003979168,ok
PYAM5PO,C00001 + C00007 + C00647 = C00027 + C00014 + C00018,-96.74890582246297,ok
SSALx,C00001 + C00003 + C00232 = 2 C00080 + C00004 + C00042,-36.54164257715547,ok
ASPT,C00049 = C00122 + C00014,13.197966369162486,ok
OHPBAT,C00025 + C06054 = C00026 + C06055,10.744127450937981,ok
SERD_L,C00065 = C00014 + C00022,-30.21048501902139,ok
EX_dgsn_e,dgsn_e --> ,,skipped (unmapped)
NADDP,C00001 + C00003 = C00020 + 2 C00080 + C00455,-34.56972232507371,ok
EX_arab__L_e,arab__L_e --> ,,skipped (unmapped)
EX_fru_e,fru_e --> ,,skipped (unmapped)
THRD,C00003 + C00188 = C03508 + C00080 + C00004,26.94521108348613,ok
HEX4,C00002 + C00159 = C00008 + C00080 + C00275,-16.846408459018733,ok
EX_gal_e,gal_e --> ,,skipped (unmapped)
NMNAT,C00002 + C00080 + C00455 = C00003 + C00013,-2.9488031378815975,ok
EX_xyl__D_e,xyl__D_e --> ,,skipped (unmapped)
KARA1,C04272 + C00006 = C06010 + C00080 + C00005,18.538468409559982,ok
HMPK1,C01279 + C00002 = CHEBI:44219 + C00008 + C00080,-9.244704681972962,ok
KARA2,C06006 + C00080 + C00005 = C06007 + C00006,-18.538583620156146,ok
EX_duri_e,duri_e --> ,,skipped (unmapped)
EX_for_e,for_e --> ,,skipped (unmapped)
EX_gly_e,gly_e --> ,,skipped (unmapped)
EX_h2_e,h2_e --> ,,skipped (unmapped)
EX_lys__L_e,lys__L_e --> ,,skipped (unmapped)
ACCOAC,C00024 + C00002 + C00288 = C00008 + C00080 + C00083 + C00009,-6.819476712687852,ok
NADK,C00002 + C00003 = C00008 + C00080 + C00006,-10.051137277741418,ok
GLXCL,2 C00048 + C00080 = C01146 + C00011,-18.767797923382034,ok
ICHORS_copy2,C00251 = C00885,0.9684135952723523,ok
SUCBZS,C05817 = C00001 + C02730,-38.59130922728531,ok
DHBD,C04171 + C00003 = C00196 + C00080 + C00004,-58.73134448055316,ok
ICHORT,C00001 + C00885 = C04171 + C00022,-41.140093755420466,ok
EX_ser__L_e,ser__L_e --> ,,skipped (unmapped)
EX_thm_e,thm_e --> ,,skipped (unmapped)
EX_trp__L_e,trp__L_e --> ,,skipped (unmapped)
GLUTRR,C02987 + C00080 + C00005 = C03741 + C00006 + C01641,,skipped (unbalanced)
GLCS1,C00498 = C00008 + C00182 + C00080,,skipped (unbalanced)
GLCP,C00182 + C00009 = C00103,,skipped (unbalanced)
EX_din_e,din_e --> ,,skipped (unmapped)
RBK_L1,C00002 + C00508 = C00008 + C00080 + C01101,-11.285663641172903,ok
RBP4E,C01101 = C00231,-0.49726217951280205,ok
TARTD,C00898 = C00001 + C00036,-33.911505090655496,ok
NTD2,C00001 + C00105 = C00009 + C00299,-9.087981582503573,ok
GLCRAL,C00679 = C01146 + C00022,25.217932013824495,ok
NTD4,C00055 + C00001 = C00475 + C00009,-14.200677195833414,ok
NTD5,C00364 + C00001 = C00009 + C00214,-9.994844790642787,ok
EX_fmn_e,fmn_e --> ,,skipped (unmapped)
EX_gthox_e,gthox_e --> ,,skipped (unmapped)
KAS14,C03939 + C00080 + C01209 = C00229 + C05744 + C00011,,skipped (unbalanced)
HEMEOS,C00448 + C00001 + C00032 = C15672 + C00013,-51.78422585554101,ok
ADMDC,C00019 + C00080 = C01137 + C00011,-22.936718788974588,ok
AGMT,C00179 + C00001 = C00134 + C00086,-58.59032020344881,ok
NTD6,C00360 + C00001 = C00559 + C00009,-16.368891768669137,ok
LGTHL,C00051 + C00546 = C03451,-23.467672054859463,ok
PYDXPP,C00001 + C00018 = C00009 + C00250,-12.907205114755072,ok
PDXPP,C00001 + C00627 = C00009 + C00314,-19.71595674392512,ok
ARGDC,C00062 + C00080 = C00179 + C00011,-4.891590753892274,ok
HACD6,C05261 + C00080 + C00004 = C05260 + C00003,-18.669705980656545,ok
ECOAH1,C01144 = C00877 + C00001,3.2759179325111774,ok
ECOAH2,C05268 = C00001 + C05271,0.6837760089028961,ok
ARGSS,C00049 + C00002 + C00327 = C00020 + C03406 + C00080 + C00013,1.345946762999418,ok
AGPR,C01250 + C00006 + C00009 = C04133 + C00080 + C00005,7.693224948010766,ok
SPMS,C01137 + C00134 = C00170 + C00080 + C00315,3.463083798538264,ok
G1SAT,C03741 = C00430,-8.983609154429985,ok
KDOCT2,C00063 + CHEBI:43577 = C04121 + C00013,228.86340508409347,ok
ECOAH3,C05266 = C00001 + C05276,-0.432742350962144,ok
UGLT,C00446 + C00029 = C00103 + C00052,-0.8856360030288215,ok
EDTXS1,MNXM89851 + C06025 = C00229 + C06251,,skipped (unbalanced)
DXPS,C00118 + C00080 + C00022 = C00011 + C11437,-32.0518048340428,ok
OAADC,C00080 + C00036 = C00011 + C00022,-17.25035224767778,ok
MNNH,C00514 = C00204 + C00001,-34.559647390870325,ok
CDPMEK,C11435 + C00002 = C11436 + C00008 + C00080,-6.994754405017829,ok
EDTXS2,C06251 + MNXM89779 = C00229 + C06026,,skipped (unbalanced)
ALTRH,C00817 = C00204 + C00001,-34.559647390870325,ok
MECDPS,C11436 = C11453 + C00055,1809.6948826802422,ok
GUI1,C00191 = C00905,0.6148348120622131,ok
EDTXS3,MNXM89949 + C06025 = C00229 + cpd15491,,skipped (unbalanced)
PGAMT,C06156 = C00352,-2.6694830556356237,ok
DDGLK,C00204 + C00002 = C04442 + C00008 + C00080,-20.153612621054094,ok
EDTXS4,cpd15491 + MNXM89779 = C00229 + CHEBI:61522,,skipped (unbalanced)
XYLI2,C00031 = C00095,-0.11830346741476205,ok
PMANM,C00636 = C00275,-4.518553507781405,ok
ICL,C00311 = C00048 + C00042,9.51983219263957,ok
UAGDP,C04256 + C00080 + C00075 = C00013 + C00043,-8.467921789308775,ok
UAGCVT,C00074 + C00043 = C00009 + C04631,-14.769830529472529,ok
GLUR,C00217 = C00025,-0.5605063746176597,ok
EX_tmao_e,tmao_e --> ,,skipped (unmapped)
UAG2E,C00043 = C01170,1.5322630892703728,ok
EX_acald_e,acald_e --> ,,skipped (unmapped)
GLYCL,C00037 + C00003 + C00101 = C00011 + C00143 + C00004 + C00014,22.186467115346204,ok
CMPN,C00055 + C00001 = C00380 + C03736,-11.71784350926572,ok
NNDPR,2 C00080 + C00119 + C03722 = C00011 + C01185 + C00013,-28.886352389527346,ok
HCYSMT,C00019 + C00155 = C00021 + C00080 + C00073,1.0742615950780419,ok
EX_melib_e,melib_e --> ,,skipped (unmapped)
MACPD,C00080 + C01209 = C03939 + C00011,,skipped (unbalanced)
DMQMT,CHEBI:1231 + C00019 = C00021 + C00080 + CHEBI:61682,-7.657278007322759,ok
UDPG4E,C00029 = C00052,2.918375668718454,ok
LACZ,C00001 + C00243 = C00124 + C00031,-10.74095037253619,ok
TRE6PH,C00001 + C00689 = C00092 + C00031,-9.523075089405324,ok
XYLI1,C00181 = C00310,3.667800170819703,ok
PPC,C00011 + C00001 + C00074 = C00080 + C00036 + C00009,-37.6981698585328,ok
ICHORS_copy1,C00251 = C00885,0.9684135952723523,ok
EX_sucr_e,sucr_e --> ,,skipped (unmapped)
ALDD4,C01412 + C00001 + C00003 = MNXM162281 + 2 C00080 + C00004,,skipped (unbalanced)
HACD4,C05265 + C00080 + C00004 = C05264 + C00003,-18.669705980657,ok
G3PT,C00093 + C00001 = C00116 + C00009,-13.144624903666973,ok
CINNDO,C00423 + C00080 + C00004 + C00007 = C12622 + C00003,-363.5191198652383,ok
DHPPD,CHEBI:48690 + C00003 = C04044 + C00080 + C00004,-58.7641069421702,ok
EX_tre_e,tre_e --> ,,skipped (unmapped)
EX_zn2_e,zn2_e <=> ,,skipped (unmapped)
HACD5,C05263 + C00080 + C00004 = C05262 + C00003,-18.669705980656545,ok
DHCIND,C12622 + C00003 = C12623 + C00080 + C00004,-58.761091219474565,ok
HACD7,C05259 + C00080 + C00004 = C05258 + C00003,-18.66970598065609,ok
CITL,C00158 = C00033 + C00036,3.801298359547289,ok
GOFUCR,CHEBI:21155 + C00080 + C00005 = C00325 + C00006,1.216554142891141,ok
PYDXK,C00002 + C00250 = C00008 + C00080 + C00018,-14.45799363314893,ok
DNMPPA,C05925 + C00001 = C04874 + C00009,-8.950686600199056,ok
HPPK2,C01300 + C00002 = C04807 + C00020 + C00080,-2.1501352641728317,ok
PTPATi,C00002 + C00080 + C01134 = C00882 + C00013,-20.77320036200483,ok
HEX7,C00002 + C00095 = C00008 + C05345 + C00080,-10.772483864013395,ok
DXPRIi,C11437 + C00080 + C00005 = C11434 + C00006,-15.901432980860363,ok
GTPCII2,C00044 + 3 C00001 = C01304 + C00058 + 2 C00080 + C00013,-75.26831529027203,ok
URIC,2 C00001 + C00007 + C00366 = C01551 + C00011 + C00027,-95.37789176817458,ok
SADT2,C00002 + C00044 + C00001 + C00059 = C00224 + C00035 + C00009 + C00013,21.96920044429408,ok
OPHBDC,C05809 + C00080 = C05810 + C00011,-10.62899607243969,ok
AACPS1,C00229 + C00002 + MNXM162239 = C00020 + MNXM89779 + C00013,,skipped (unbalanced)
OHPHM,C05811 + C00019 = C05812 + C00021 + C00080,-7.63777923038856,ok
GHMT2r,C00065 + C00101 = C00037 + C00001 + C00143,-6.7594964742511365,ok
DHORD2,C00337 + C17569 = C00295 + CHEBI:61682,-125.12686393769013,ok
LCARS,C00080 + C00424 + C00004 = C02917 + C00003,-26.460378973443767,ok
ALCD19,C00577 + C00080 + C00004 = C00116 + C00003,-39.13909536078518,ok
RMPA,C01131 = C00111 + C00424,6.3659158947747585,ok
SBTPD,C00003 + C01096 = C05345 + C00080 + C00004,18.938943491652026,ok
PFK_2,C00002 + C01097 = C00008 + C00080 + C03785,-18.38545876306881,ok
GLTPD,C06311 + C00003 = C00080 + C00004 + C01097,16.12802662261828,ok
EX_hdcea_e,hdcea_e --> ,,skipped (unmapped)
ACACCT,C00164 + C00024 = C00332 + C00033,6.100959652959531,ok
SDPDS,C00001 + C04421 = C00666 + C00042,7.959308192827166,ok
BUTCT,C00024 + MNXM162281 = C00033 + C00136,,skipped (unbalanced)
TGBPA,C03785 = C00111 + C00118,21.83130435796113,ok
MANAO,C00514 + C00003 = C00905 + C00080 + C00004,16.581893415922877,ok
TAGURr,C00817 + C00003 = C00080 + C00004 + C00558,18.261873307545955,ok
DMSOR1,C11143 + CHEBI:61684 = C00580 + C00001 + CHEBI:44027,-224.1825300464352,ok
PGLYCP,C00988 + C00001 = C00160 + C00009,-31.609963890097397,ok
2DGULRx,cpd15351 + C00080 + C00004 = C00770 + C00003,,skipped (unbalanced)
DKGLCNR2y,C02780 + C00080 + C00005 = C01062 + C00006,-24.2791828588081,ok
G1PTT,C00459 + C00103 + C00080 = C00842 + C00013,1.1684069257735956,ok
TDPGDH,C00842 = C11907 + C00001,-47.534537210743835,ok
ADCS,C00251 + C00064 = C11355 + C00025,-17.891219532401863,ok
ADCL,C11355 = C00568 + C00080 + C00022,-88.31688268101898,ok
2DGULRy,cpd15351 + C00080 + C00005 = C00770 + C00006,,skipped (unbalanced)
DHAPT,C00184 + C00074 = C00111 + C00022,-39.99036856807349,ok
EX_lac__D_e,lac__D_e --> ,,skipped (unmapped)
UDPGALM,C00052 = C03733,1.068022726277377,ok
TDPDRE,C11907 = C00688,-15.397183937536624,ok
TDPDRR,C00688 + C00080 + C00005 = C03319 + C00006,1.2197210822506577,ok
UMPK,C00002 + C00105 = C00008 + C00015,-1.172965851036281,ok
RZ5PP,C04778 + C00001 = C00009 + C05775,-15.476684576492403,ok
DDPGALA,C01286 = C00118 + C00022,13.829600448094666,ok
DURIK1,C00002 + C00526 = C00008 + C00365 + C00080,-13.27722167481204,ok
G3PD6,C00093 + CHEBI:44027 = C00111 + CHEBI:61684,-1.1179832360348883,ok
ALLTN,C01551 + C00001 = C00499 + C00080,-54.742198884070206,ok
UAPGR,C00080 + C00005 + C04631 = C00006 + C01050,-58.346944572511575,ok
UPPRT,C00119 + C00106 = C00013 + C00105,-16.505825193372516,ok
NTD9,C00144 + C00001 = C00387 + C00009,-7.887172458050095,ok
CTPS2,C00002 + C00064 + C00001 + C00075 = C00008 + C00063 + C00025 + 2 C00080 + C00009,-18.56030134003504,ok
NTD1,C00365 + C00001 = C00526 + C00009,-14.087977073092027,ok
NTD7,C00020 + C00001 = C00212 + C00009,-14.794464588337696,ok
PAPPT3,C00348 + C04882 = C05897 + C00105,1.436043660405005,ok
UAGPT3,C00043 + C05897 = C00080 + C05898 + C00015,-12.558557707159764,ok
NDPK7,C00002 + C00705 = C00008 + C00458,4.149299972029439,ok
AOBUTDs,C03508 + C00080 = C01888 + C00011,-19.841391316391082,ok
GLYAT,C00024 + C00037 = C03508 + C00010,34.60442534554295,ok
ADNUC,C00212 + C00001 = C00147 + C00121,-5.970428499618208,ok
GMHEPPA,CHEBI:4188 + C00001 = C07838 + C00009,-8.96682528983792,ok
S7PI,C05382 = C07836,2.227457332508834,ok
TRPS3,C03506 = C00118 + C00463,19.204879907686802,ok
EX_ttdcea_e,ttdcea_e --> ,,skipped (unmapped)
F6PA,C05345 = C00184 + C00118,15.852890804659694,ok
AGMHE,C06397 = C06398,0.0,ok
CRNBTCT,C20749 + C00318 = C20750 + C01181,0.723066952817419,ok
CRNCBCT,C00318 + C20748 = C20750 + C04114,-0.6133288322190822,ok
NTD10,C00001 + C00655 = C00009 + C01762,-11.678924931308757,ok
CRNCDH,C20750 = C20748 + C00001,-0.43254935444205955,ok
